,generations,references
0,"Please provide the text. 


Please provide the text.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,"Please provide me with the text you would like me to summarize. 

I'm ready to assist!","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,Please provide the text you would like me to summarize.,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,Please provide me with the article you want me to summarize.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,Please provide the text you'd like me to summarize.,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,Please provide the article you would like me to summarize. I need the text of the article to answer your request.  You'll notice I've made an assumption based on the prompt.,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,"The statement ""Empty set union with itself"" is a notable result in mathematics related to set theory.
It is particularly interesting because it demonstrates the power of set theory and its ability to generate surprising, even unexpected, mathematical conclusions.
The result is a result that can be applied in logic and computer science.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,The article discusses how to explain how to become a successful blogger and the relationship between blogging and social media.,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,"The text provided does not contain a summary statement. 

Let me know if you have any other text you'd like me to summarize!","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,"What does ""Empty"" mean in this context?

Please note: The word ""Empty"" is used in the prompt text. Let me know if you have any other questions. 

Let me know if you'd like to summarize another text!",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
