,generations,references
0,Please provide the article you would like me to summarise.,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,Please provide me with the article you would like me to summarize.  I need the actual text of the article to be able to generate a one-sentence summary. 😊,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,"I have attached the article that you requested. 

Please review the attached file and answer the query:  Summarize the article in one sentence. I'm ready to help! Just let me know when you are, and we'll get","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,I need the article to summarize in one sentence. Please provide the article text.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,"The article details the benefits of mindfulness meditation and its potential effectiveness in managing stress, anxiety, and depression, among other psychological and physical well-being factors.


Let me know if you'd prefer it in different ways.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,Please provide me with the article you would like me to summarize! I need the text of the article in order to analyze it and provide a concise one-sentence summary.,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,Please provide the article to be summarized with no extra context or questions.,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,Please provide me with the article you would like me to summarize.,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,Please provide the article you would like me to summarize. 😉,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,Please provide the article so I can summarize it for you.,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
