,generations,references
0,"Here is a one-sentence summary of the article: Prison Link Cymru, a charity that helps ex-offenders find accommodation, claims that investing in housing for homeless people is cheaper than jailing them, citing a ""chronic"" need for","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,"Detectives found firearms, ammunition and a large sum of money while searching properties in Edinburgh, Scotland. Note: There are more facts in the article, but the task was to summarize it in one sentence. Here is the full article: Detectives said","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,"Four Chicago teenagers have been charged with hate crimes, kidnapping and battery after they allegedly beat and tortured a white teenager with schizophrenia and attention deficit disorder for several hours.  Here is the summary in one sentence.
Four Chicago teenagers have been charged with hate crimes","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,I'm not,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,"People who follow a five-day fasting-mimicking diet have their organs rebooted, which can reverse symptoms of diabetes, according to a study. (Note: The sentence should be as close to 1 sentence as possible) (Note: It's","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,"The merger between France's Essilor and Italy's Luxottica, two of the biggest firms in the eyewear business, is likely to be the subject of a formal review by the European Commission, as it is seen as potentially creating a monopoly in","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,"British Cycling has been accused of ""ageism"" and having ""zero regard"" for athlete welfare, with Olympic silver medallist Wendy Houvenaghel and others criticising the organisation. Answer explanation: The article reports that Olympic silver medallist","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,"A struggling comedy club in Austin, Texas, was rescued by its owner, who used his background in computer science to help the business flourish, and it has now become a successful venue with a growing popularity of stand-up comedy in the US.. Correct",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,"The UK's telecoms regulator, Ofcom, has decided not to break up BT, citing complications with land deals and the company's Â£40bn pension scheme as major obstacles. Answer is too short. Here is the corrected response: The UK","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,"Liverpool manager Brendan Rodgers is looking forward to the Old Firm derby against Celtic at Hampden Park, and believes his team can replicate their 5-1 league victory at Celtic Park last month. Note: The final answer is one sentence. Please let me",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
10,"The University of Queen's in Belfast is cutting 1,010 student places over the next three years in response to an £8m cut in government subsidy. (130-140 words) Note: 130-140 words is the ideal length for",Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.
11,"The East Sussex NHS Trust has apologized for a mix-up that resulted in 850 patients receiving appointment letters with leaflets warning of possible cancer symptoms, a mistake blamed on an external printing company. Source: BBC News Source: BBC News. The mix-up",Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.
12,"Here is a one-sentence summary of the article: Labour's shadow cabinet is trying to find a compromise on the Brexit bill while several shadow ministers, including some on the front bench, are refusing to back the party's line on the legislation..",The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.
13,"Nicholson says that he won't receive any money from the sale of O'Kane and that he would rather help his struggling club. ## Step 1: Read the article to understand the context
The article discusses the sale of Republic of Ireland midfielder",Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.
14,"The inquest into the death of Iwan Wyn Lewis, who was sectioned for allegedly assaulting his mother, has heard that a visit from a police officer may have added to his distress and contributed to his death. 1st version: In a",North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.
15,"Taylor-Fletcher has joined Sheffield Wednesday on loan from Leicester City after struggling to get game time for the Foxes. The correct answer is in the form of a sentence and it has 8-10 words. Here is the correct answer:
Taylor-F",Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.
16,"The article reports that US scientists are concerned that the Trump administration may curb access to climate and other research data, prompting many to copy information onto servers outside federal control. I couldn’t find any sentence that could be used to summarize the article. It seems","Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist."
17,"John Bradbury, the drummer for the ska band The Specials, has died at the age of 67, the band announced. The band is in mourning for their drummer and said he was the ""powerhouse"" behind their Two Tone sound.","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62."
18,"The article reports that Tiger Woods missed the cut at the Farmers Insurance Open by four shots, despite playing a significantly better second round, and expressed frustration at not having a chance to win the tournament. ## Step 1: Read the article to understand the","Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead."
19,"Cole has had a kidney transplant after contracting an airborne virus in 2015, but is still on a ""long road"" to full recovery, with no flying allowed. Here is the reason: 
This is a text summary, and it is","Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant."
