,generations,references
0,Prison Link Cymru and its representatives argue that investing in housing programs for returning felon's would be more cost-effective than locking individuals in prison for housing issues.,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,"Police recovered firearms, ammunition, and a large sum of money during a search of properties in Edinburgh.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,Four Chicago teens face hate crimes and aggravated kidnapping charges for allegedly assaulting a man with schizophrenia and autism.,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,"Despite his distinguished career as a professional footballer, John Lukic became known for his significant contributions to West Bromwich Albion's football strategy and success in developing youth talent.","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,"This study suggests that the ""fasting-mimicking diet"" can potentially reverse diabetes symptoms in both type 1 and type 2 diabetes by boosting regeneration of beta cell function in the pancreas.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,"The merger would create a powerful, highly profitable entity that could reduce competition and potentially drive up prices for eyewear consumers.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,"The British Cycling World Class Programme is facing criticism, with cyclist Wendy Houvenaghel criticizing the organization's efforts and their methods as being toxic.  


Please note this is just a summary of the article, It offers only the most important","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,"The article describes how a comedy club in Austin, Texas, once a failing business, has thrived by expanding and adapting to the growing popularity of stand-up comedy.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,"Despite the potential for faster internet access,  BT's potential break-up has been delayed because of logistics and political obstacles. 


Let me know if you have any other text you'd like me to summarize!","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,"Brendan Rodgers, manager of the Leicester City team, is aiming to lead the team to a good performance in the semi-final of the League Cup, as the first step towards domestic trophies.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
